player,tm,pos,std,0.5PPR,PPR,SFBX,att,comp,payd,patd,int,sack,car%,car,ruyd,rutd,tgt%,tgt,rec,recyd,rectd,,,,
Pat Mahomes,KCC,QB,374.1,374.1,374.1,398.9,585,382,5164,36,8,25,0.147,55,275,2,,,,,,,,,
Drew Brees,NOS,QB,290.7,290.7,290.7,385.2,547,409,4430,30,7,22,0.088,38,15,1,,,,,,,,,
Lamar Jackson,BAL,QB,368.4,368.4,368.4,383.8,461,296,3449,28,8,25,0.299,164,984,6,,,,,,,,,
Dak Prescott,DAL,QB,343.8,343.8,343.8,342.6,595,385,4884,29,9,30,0.143,60,294,3.5,,,,,,,,,
Russell Wilson,SEA,QB,324.3,324.3,324.3,323.7,523,344,4165,31,7,49,0.146,70,357,2,,,,,,,,,
DeShaun Watson,HOU,QB,324.3,324.3,324.3,305.1,538,354,4247,26,11,51,0.19,83,424,5,,,,,,,,,
Kyler Murray,ARZ,QB,310.8,310.8,310.8,287.9,591,384,4137,25,11,45,0.217,86,493,3,,,,,,,,,
Matt Ryan,ATL,QB,305.3,305.3,305.3,287.7,665,439,4987,29,14,45,0.101,37,118,1,,,,,,,,,
Kirk Cousins,MIN,QB,253.5,253.5,253.5,286.9,501,348,3807,25,8,26,0.09,42,112,1,,,,,,,,,
Derek Carr,LVR,QB,258.7,258.7,258.7,284.2,534,371,4221,23,8,30,0.066,28,79,1,,,,,,,,,
Tom Brady,TBB,QB,316.6,316.6,316.6,281.6,646,401,4974,33,12,35,0.059,24,36,1,,,,,,,,,
Carson Wentz,PHI,QB,290.2,290.2,290.2,277.6,600,392,4281,27,8,45,0.14,60,210,1,,,,,,,,,
Matt Stafford,DET,QB,295.5,295.5,295.5,274.7,570,365,4547,31,11,42,0.086,35,116,0,,,,,,,,,
Jimmy Garoppolo,SFO,QB,257.5,257.5,257.5,274.3,495,346,4097,26,12,40,0.095,45,76,1,,,,,,,,,
Teddy Bridgewater,CAR,QB,275.9,275.9,275.9,272.9,594,398,4247,24,10,40,0.14,57,120,3,,,,,,,,,
Ryan Tannehill,TEN,QB,272.3,272.3,272.3,260.5,452,302,3856,23,11,44,0.15,67,301,3,,,,,,,,,
Aaron Rodgers,GBP,QB,288.8,288.8,288.8,260,569,353,4064,27,4,40,0.111,45,202,1,,,,,,,,,
Cam Newton,NEP,QB,296.8,296.8,296.8,244.8,588,361,3939,24,15,33,0.2,90,432,5,,,,,,,,,
Josh Allen,BUF,QB,301.8,301.8,301.8,239.9,520,309,3561,22,11,39,0.234,109,514,7,,,,,,,,,
Gardner Minshew,JAX,QB,273.7,273.7,273.7,234.8,538,337,3874,23,10,40,0.179,72,317,2.5,,,,,,,,,
Jared Goff,LAR,QB,260,260,260,222.2,608,385,4492,23,15,27,0.084,35,63,2,,,,,,,,,
Joe Burrow,CIN,QB,273.7,273.7,273.7,219,597,373,4147,24,16,39,0.13,55,198,4,,,,,,,,,
Philip Rivers,IND,QB,234.1,234.1,234.1,214.5,563,370,3997,26,16,33,0.029,13,22,0,,,,,,,,,
Ben Roethlisberger,PIT,QB,249.6,249.6,249.6,211,605,381,4285,25,17,24,0.07,27,62,1,,,,,,,,,
Baker Mayfield,CLE,QB,242.3,242.3,242.3,206.4,481,303,3674,24,14,33,0.075,34,153,2,,,,,,,,,
Daniel Jones,NYG,QB,262,262,262,203.5,547,343,3836,23,15,48,0.13,56,286,3,,,,,,,,,
Sam Darnold,NYJ,QB,237.7,237.7,237.7,193.8,547,347,3815,25,14,43,0.088,34,71,1,,,,,,,,,
Dwayne Haskins,WAS,QB,251.3,251.3,251.3,176.2,587,367,4182,23,15,59,0.111,42,160,1,,,,,,,,,
Drew Lock,DEN,QB,235.3,235.3,235.3,162.9,581,355,3863,22,15,43,0.131,48,168,1,,,,,,,,,
Nick Foles,CHI,QB,157.2,157.2,157.2,146.9,347,226,2498,16,7,22,0.038,16,43,0.5,,,,,,,,,
Tua Tagovailoa,MIA,QB,139.5,139.5,139.5,109,320,199,2204,13,9,20,0.068,29,113,1,,,,,,,,,
Tyrod Taylor,LAC,QB,134.9,134.9,134.9,108,233,143,1630,9,4,23,0.108,43,237,3,,,,,,,,,
Taysom Hill,NOS,QB,77.5,86,94.5,94.3,7,4,63,1,0,,0.09,39,211,2,0.042,23,17,229,2.5,,,,
Ryan Fitzpatrick,MIA,QB,111.6,111.6,111.6,78.4,248,149,1747,11,9,15,0.052,22,97,1,,,,,,,,,
Mitch Trubisky,CHI,QB,95.3,95.3,95.3,77.3,209,131,1319,8,4,16,0.057,24,125,1,,,,,,,,,
Justin Herbert,LAC,QB,120.9,120.9,120.9,71.3,298,175,1993,11,9,21,0.068,27,92,1,,,,,,,,,
Christian McCaffrey,CAR,RB,307.8,356.3,404.8,402.3,,,,,,,0.65,264,1241,12,0.205,116,97,817,5,,,,
Saquon Barkley,NYG,RB,278.9,306.9,334.9,348,,,,,,,0.671,289,1421,12,0.148,79,56,468,3,,,,
Alvin Kamara,NOS,RB,249,290,331,329.8,,,,,,,0.532,231,1097,9.5,0.19,104,82,613,3.5,,,,
Dalvin Cook,MIN,RB,251.8,282.3,312.8,323.5,,,,,,,0.6,281,1265,9.5,0.148,73,61,563,2,,,,
Derrick Henry,TEN,RB,260.7,271.2,281.7,307.7,,,,,,,0.685,307,1504,14,0.06,26,21,203,1,,,,
Nick Chubb,CLE,RB,250.1,263.1,276.1,298.8,,,,,,,0.636,290,1479,12,0.076,35,26,242,1,,,,
Ezekiel Elliott,DAL,RB,231.1,251.1,271.1,286.5,,,,,,,0.626,263,1289,10,0.096,55,40,302,2,,,,
Joe Mixon,CIN,RB,227.3,245.8,264.3,283.8,,,,,,,0.691,293,1289,9.5,0.081,46,37,294,2,,,,
Austin Ekeler,LAC,RB,202.4,243.4,284.4,276.5,,,,,,,0.42,168,722,5,0.196,100,82,762,4,,,,
Josh Jacobs,LVR,RB,223.7,233.7,243.7,269.5,,,,,,,0.709,302,1419,10,0.05,25,20,158,1,,,,
Kenyan Drake,ARZ,RB,211.1,235.1,259.1,266.5,,,,,,,0.535,212,1081,9,0.11,62,48,310,3,,,,
Todd Gurley,ATL,RB,192.9,219.4,245.9,254.5,,,,,,,0.65,238,928,7,0.106,68,53,401,3,,,,
Aaron Jones,GBP,RB,201.8,224.8,247.8,254.2,,,,,,,0.483,196,880,8,0.118,64,46,418,4,,,,
Clyde Edwards-Helaire,KCC,RB,198,225,252,251,,,,,,,0.4,150,720,8,0.12,68,54,510,4.5,,,,
Miles Sanders,PHI,RB,192.6,218.6,244.6,250.9,,,,,,,0.495,213,898,6,0.11,65,52,488,3,,,,
Le'Veon Bell,NYJ,RB,176.7,210.7,244.7,245.3,,,,,,,0.538,207,826,4,0.161,84,68,521,3,,,,
David Montgomery,CHI,RB,185.2,199.2,213.2,234.4,,,,,,,0.67,282,1097,8,0.07,37,28,215,1,,,,
David Johnson,HOU,RB,168.8,184.3,199.8,214.2,,,,,,,0.521,227,953,5,0.086,45,31,315,2,,,,
Leonard Fournette,JAX,RB,169.4,181.9,194.4,212.6,,,,,,,0.609,245,1005,6.5,0.066,34,25,239,1,,,,
JK Dobbins,BAL,RB,177.5,187,196.5,208.8,,,,,,,0.313,172,946,9,0.059,26,19,169,2,,,,
Melvin Gordon,DEN,RB,149.6,181.6,213.6,207.6,,,,,,,0.363,133,535,5,0.148,83,64,481,3,,,,
Derrius Guice,WAS,RB,162.8,183.3,203.8,207.1,,,,,,,0.401,152,737,6,0.09,51,41,411,2,,,,
Chris Carson,SEA,RB,158.9,174.4,189.9,202.2,,,,,,,0.433,207,911,7,0.078,39,31,198,1,,,,
Raheem Mostert,SFO,RB,170.1,178.1,186.1,201.2,,,,,,,0.398,189,983,7.5,0.056,27,16,208,1,,,,
Jordan Howard,MIA,RB,158.5,167,175.5,195.3,,,,,,,0.553,236,968,7,0.045,25,17,137,1,,,,
Jonathan Taylor,IND,RB,161.5,168.5,175.5,194,,,,,,,0.479,215,1023,7.5,0.033,18,14,82,1,,,,
Ke'Shawn Vaughn,TBB,RB,152.6,162.1,171.6,187.4,,,,,,,0.501,205,840,8,0.042,26,19,176,0.5,,,,
Matt Breida,MIA,RB,130.4,160.9,191.4,184.9,,,,,,,0.279,119,583,2,0.145,80,61,481,2,,,,
Mark Ingram,BAL,RB,147.4,159.4,171.4,180.9,,,,,,,0.291,160,784,6,0.065,29,24,210,2,,,,
Tarik Cohen,CHI,RB,123.8,159.3,194.8,180.5,,,,,,,0.181,76,293,2,0.17,90,71,585,4,,,,
D'Andre Swift,DET,RB,134.4,151.4,168.4,175.5,,,,,,,0.409,167,684,4.5,0.08,44,34,330,1,,,,
Kerryon Johnson,DET,RB,135.1,150.6,166.1,173.5,,,,,,,0.395,161,709,4.5,0.071,39,31,312,1,,,,
Sony Michel,NEP,RB,136.9,141.9,146.9,166.7,,,,,,,0.481,216,863,7,0.03,17,10,86,0,,,,
James White,NEP,RB,112,147,182,164.8,,,,,,,0.1,45,182,1,0.171,97,70,638,4,,,,
James Conner,PIT,RB,130.1,140.6,151.1,162.1,,,,,,,0.43,166,689,6,0.05,29,21,192,1,,,,
Kareem Hunt,CLE,RB,117.7,142.2,166.7,161.8,,,,,,,0.217,99,426,3,0.137,63,49,451,2,,,,
Duke Johnson,HOU,RB,122.3,140.3,158.3,159.9,,,,,,,0.28,122,598,3,0.095,50,36,325,2,,,,
Cam Akers,LAR,RB,124.8,136.8,148.8,156.1,,,,,,,0.337,140,551,7,0.06,35,24,217,1,,,,
Devin Singletary,BUF,RB,121.2,132.7,144.2,154.8,,,,,,,0.361,168,790,3,0.065,32,23,152,1.5,,,,
Marlon Mack,IND,RB,122,130.5,139,151.2,,,,,,,0.367,165,729,5.5,0.041,22,17,101,1,,,,
Phillip Lindsay,DEN,RB,118.3,130.8,143.3,150.9,,,,,,,0.396,145,701,4,0.061,34,25,182,1,,,,
Ronald Jones,TBB,RB,122.4,130.4,138.4,150.4,,,,,,,0.391,160,672,6,0.037,23,16,162,0.5,,,,
Zack Moss,BUF,RB,117.7,128.2,138.7,149.1,,,,,,,0.343,160,688,4,0.061,30,21,159,1.5,,,,
Carlos Hyde,SEA,RB,106.9,117.4,127.9,136.9,,,,,,,0.308,147,574,5,0.054,27,21,135,1,,,,
Damien Williams,KCC,RB,104.6,119.1,133.6,135.9,,,,,,,0.285,107,438,4,0.06,34,29,218,2.5,,,,
Tevin Coleman,SFO,RB,106.9,117.4,127.9,135.3,,,,,,,0.278,132,545,4.5,0.058,28,21,194,1,,,,
AJ Dillon,GBP,RB,109.7,118.2,126.7,134.6,,,,,,,0.308,125,529,6,0.044,24,17,148,1,,,,
Boston Scott,PHI,RB,102.4,116.9,131.4,133.7,,,,,,,0.249,107,417,4.5,0.061,36,29,277,1,,,,
Chris Thompson,JAX,RB,89.5,114,138.5,128.8,,,,,,,0.134,54,227,1,0.129,67,49,428,3,,,,
Tony Pollard,DAL,RB,93.6,110.1,126.6,125.8,,,,,,,0.214,90,419,2,0.077,44,33,277,2,,,,
Jalen Richard,LVR,RB,88.4,109.9,131.4,124.7,,,,,,,0.15,64,269,2,0.099,50,43,375,2,,,,
Darrell Henderson,LAR,RB,97.6,108.1,118.6,124.2,,,,,,,0.277,115,475,4,0.051,30,21,201,1,,,,
Antonio Gibson,WAS,RB,85.1,108.1,131.1,121.1,,,,,,,0.111,42,196,2,0.113,64,46,415,2,,,,
Latavius Murray,NOS,RB,91,98,105,112,,,,,,,0.247,107,455,5,0.033,18,14,95,1,,,,
Justin Jackson,LAC,RB,82.8,92.3,101.8,105,,,,,,,0.215,86,381,5,0.051,26,19,147,0,,,,
Darrynton Evans,TEN,RB,71.2,87.2,103.2,99.8,,,,,,,0.141,63,255,2,0.09,39,32,247,1.5,,,,
Nyheim Hines,IND,RB,65,86.5,108,98.9,,,,,,,0.094,42,160,1,0.106,57,43,310,2,,,,
Alexander Mattison,MIN,RB,77.5,85,92.5,98.2,,,,,,,0.209,98,431,3.5,0.039,19,15,134,0,,,,
Adrian Peterson,WAS,RB,73.1,77.1,81.1,89.4,,,,,,,0.269,102,423,4,0.019,11,8,68,0,,,,
Malcolm Brown,LAR,RB,72.1,75.6,79.1,86.9,,,,,,,0.227,94,369,5,0.019,11,7,52,0,,,,
Rex Burkhead,NEP,RB,64.1,76.1,88.1,85.8,,,,,,,0.109,49,198,2,0.065,37,24,263,1,,,,
Benny Snell,PIT,RB,69.8,71.3,72.8,83.1,,,,,,,0.275,106,429,4,0.009,5,3,29,0,,,,
Frank Gore,NYJ,RB,62.7,68.7,74.7,82.2,,,,,,,0.275,106,403,2,0.031,16,12,104,0,,,,
Chase Edmonds,ARZ,RB,62.4,71.9,81.4,81.4,,,,,,,0.141,56,280,3,0.05,28,19,134,0.5,,,,
Jaylen Samuels,PIT,RB,50.5,71,91.5,81,,,,,,,0.06,23,90,0,0.084,49,41,295,2,,,,
Joshua Kelley,LAC,RB,62,70,78,80.2,,,,,,,0.17,68,271,4,0.043,22,16,109,0,,,,
Dare Ogunbowale,TBB,RB,51.6,67.6,83.6,75,,,,,,,0.034,14,44,1,0.07,43,32,292,2,,,,
Jamaal Williams,GBP,RB,49.4,60.9,72.4,69,,,,,,,0.089,36,155,1,0.055,30,23,159,2,,,,
Lynn Bowden Jr.,LVR,RB,45.5,60,74.5,67.6,,,,,,,0.049,21,83,1,0.07,35,29,252,1,,,,
Gio Bernard,CIN,RB,43.9,56.4,68.9,65.9,,,,,,,0.108,46,170,0.5,0.06,34,25,179,1,,,,
Anthony McFarland,PIT,RB,49.5,56,62.5,64.6,,,,,,,0.15,58,253,1,0.031,18,13,122,1,,,,
Jerick McKinnnon,SFO,RB,46.3,55.8,65.3,64,,,,,,,0.093,44,180,1,0.052,25,19,163,1,,,,
Kyle Juszczyk,SFO,RB,35.5,47.5,59.5,52.5,,,,,,,0.011,5,18,0,0.06,29,24,277,1,,,,
Dion Lewis,NYG,RB,35.2,42.7,50.2,50.5,,,,,,,0.109,47,183,1,0.039,21,15,109,0,,,,
Brian Hill,ATL,RB,35.9,41.9,47.9,49.5,,,,,,,0.139,51,204,1,0.026,17,12,95,0,,,,
Ito Smith,ATL,RB,35.7,42.7,49.7,48.6,,,,,,,0.085,31,130,1,0.028,18,14,107,1,,,,
Ty Johnson,DET,RB,33.8,41.3,48.8,48.4,,,,,,,0.1,41,166,1,0.034,19,15,112,0,,,,
Ty Montgomery,NOS,RB,27,35.5,44,40,,,,,,,0.03,13,56,0.5,0.04,22,17,124,1,,,,
Darrel Williams,KCC,RB,29.6,31.6,33.6,37.6,,,,,,,0.131,49,200,1,0.011,6,4,36,0,,,,
Dontrell Hilliard,CLE,RB,26.1,32.1,38.1,37,,,,,,,0.055,25,97,1,0.035,16,12,104,0,,,,
Reggie Bonnafon,CAR,RB,30.1,31.6,33.1,36.2,,,,,,,0.094,38,156,2,0.007,4,3,25,0,,,,
Jeff Wilson,SFO,RB,29,31.5,34,35.7,,,,,,,0.065,31,123,2,0.014,7,5,47,0,,,,
Corey Clement,PHI,RB,25.7,28.2,30.7,33.6,,,,,,,0.098,42,156,1,0.01,6,5,41,0,,,,
Peyton Barber,WAS,RB,23.6,26.1,28.6,30.6,,,,,,,0.09,34,132,1,0.014,8,5,44,0,,,,
CJ Ham,MIN,RB,18.2,26.2,34.2,29.9,,,,,,,0.015,7,15,0,0.049,24,16,137,0.5,,,,
Gus Edwards,BAL,RB,23.5,25,26.5,28.7,,,,,,,0.055,30,159,1,0.007,3,3,16,0,,,,
Mike Boone,MIN,RB,22.2,24.2,26.2,27.9,,,,,,,0.06,28,137,1,0.01,5,4,25,0,,,,
Eno Benjamin,ARZ,RB,18.8,22.8,26.8,26.8,,,,,,,0.061,24,110,0.5,0.02,11,8,48,0,,,,
Royce Freeman,DEN,RB,20.2,22.2,24.2,25.9,,,,,,,0.077,28,110,1,0.011,6,4,32,0,,,,
Mike Davis,CAR,RB,19.3,21.8,24.3,25,,,,,,,0.052,21,85,1,0.012,7,5,48,0,,,,
Damien Harris,NEP,RB,18.8,19.8,20.8,23.3,,,,,,,0.065,29,115,1,0.005,3,2,13,0,,,,
Lamical Perine,NYJ,RB,16.5,18.5,20.5,22.6,,,,,,,0.083,32,128,0,0.01,5,4,37,0,,,,
Ryquell Armstead,JAX,RB,15.1,19.1,23.1,22.4,,,,,,,0.042,17,67,0,0.025,13,8,84,0,,,,
TJ Yeldon,BUF,RB,14,18.5,23,22,,,,,,,0.036,17,62,0,0.024,12,9,78,0,,,,
Wayne Gallman,NYG,RB,18,18.5,19,21.9,,,,,,,0.07,30,114,1,0.004,2,1,6,0,,,,
Justice Hill,BAL,RB,14,18,22,21.5,,,,,,,0.035,19,78,0,0.029,13,8,62,0,,,,
Rashaad Penny,SEA,RB,14.8,16.3,17.8,19,,,,,,,0.042,20,92,0.5,0.008,4,3,26,0,,,,
Patrick Laird,MIA,RB,11.7,15.7,19.7,18.7,,,,,,,0.033,14,52,0,0.02,11,8,65,0,,,,
Deejay Dallas,SEA,RB,13.9,15.4,16.9,18.5,,,,,,,0.05,24,91,0.5,0.008,4,3,18,0,,,,
Trayveon Williams,CIN,RB,11.6,13.6,15.6,16.7,,,,,,,0.052,22,89,0,0.009,5,4,27,0,,,,
Travis Kelce,KCC,TE,156,201.5,247,280.7,,,,,,,,,,,0.229,130,91,1170,6.5,,,,
George Kittle,SFO,TE,151.8,197.3,242.8,277.4,,,,,,,0.008,4,21,0,0.24,116,91,1137,6,,,,
Mark Andrews,BAL,TE,149.2,187.2,225.2,253.3,,,,,,,,,,,0.259,115,76,1012,8,,,,
Tyler Higbee,LAR,TE,123.7,165.2,206.7,237.4,,,,,,,,,,,0.201,118,83,937,5,,,,
